question,answer
"¿Cuál es la dosis recomendada de ibuprofeno?","La dosis habitual en adultos es de 200-400 mg cada 6-8 horas, sin exceder 1.200 mg al día."  
"¿Puedo tomar paracetamol con antibióticos?","Sí, el paracetamol no interactúa con la mayoría de los antibióticos y suele ser seguro para aliviar la fiebre o el dolor."  
"¿Cómo debo almacenar la insulina?","La insulina debe mantenerse refrigerada entre 2°C y 8°C y nunca congelarse. Una vez abierta, puede conservarse a temperatura ambiente durante 28 días."  
"¿Qué contraindicaciones tiene la aspirina?","La aspirina está contraindicada en pacientes con úlceras gástricas activas, asma sensible a AINEs y antecedentes de hemorragias."  
"¿Cuándo debo desechar los medicamentos caducados?","Los medicamentos caducados deben desecharse inmediatamente tras la fecha de caducidad siguiendo las recomendaciones de tu farmacia local."
"Hola, mi hijo de 5 años tiene fiebre, ¿puedo darle paracetamol?","¡Hola! Sí, puedes darle paracetamol, pero la dosis depende del peso del niño. Por lo general, la dosis es de 10 a 15 mg por cada kilo de peso, cada 4 a 6 horas, sin exceder 5 dosis en 24 horas. Si no estás seguro de la cantidad exacta, dime cuánto pesa tu hijo y te ayudo a calcularlo."
"Pesa 20 kilos, ¿cuánto le doy entonces?","Para un niño de 20 kg, la dosis sería entre 200 y 300 mg por toma, cada 4 a 6 horas si es necesario. No superes 1.000 mg al día sin consultar con el pediatra. Utiliza siempre el vasito o jeringa dosificadora para medir el jarabe."
"¿Y si la fiebre no baja con el paracetamol?","Si la fiebre no baja después de 1-2 horas, puedes consultar con el pediatra. No combines medicamentos sin recomendación médica, pero en algunos casos el pediatra puede recomendar alternar paracetamol con ibuprofeno. También es importante mantener al niño hidratado y observar si hay otros síntomas preocupantes (dificultad para respirar, somnolencia excesiva, convulsiones). Si notas algo fuera de lo normal, acude a un centro médico."











